SN/IMEI/MPK,USERID
866400031206647,750590
866400032905882,750590
866400030119460,750737
866400032199684,750737
866400033315024,750737
866400030285204,750752
866400032912144,750752
866400031224442,750762
866400031805489,750762
866400033205803,750762
866400030304500,750766
866400032907367,750766
866400032863149,750766
866400031787067,750770
866400033091369,750770
866400033298485,750770
866400031752400,751002
866400032885688,751002
866400031268423,751118
866400033195368,751118
866400031510089,752330
866400033096004,752330
866400033291704,752330
866400032237443,752390
866400031665768,752390
866400033312781,752390
866400031198588,752428
866400033114963,752428
866400031213403,752436
866400033190120,752436
866400031257426,752438
866400032900487,752438
866400031666964,752446
866400032885761,752446
866400030044163,752458
866400032807484,752458
866400033272183,752458
866400031894764,756723
866400033239265,756723
866400031221240,756993
866400031789485,756993
866400033208203,756993
866400032232428,765141
866400030558121,765141
866400032759826,765141
866400032195625,780081
866400032177946,780081
866400033295028,780081
866400032230521,780085
866400032256088,780085
866400033297107,780085
866400032215787,781014
866400032196847,781014
866400033310264,781014
866400032199882,781058
866400032165149,781058
866400033300604,781058
866400032255304,781068
866400032258647,781068
866400033289369,781068
866400032234226,781072
866400032189545,781072
866400033308946,781072
866400031233708,781088
866400032874443,781088
866400033316329,781088
866400031729424,781122
866400033163325,781122
866400032914322,781122
866400032104924,781190
866400032155108,781190
866400033297248,781190
866400031229607,781218
866400032148467,781218
866400033316105,781218
866400031217461,781232
866400032830148,781232
866400033267209,781232
866400031692564,782444
866400033161188,782444
866400032844289,782444
866400031200608,782472
866400032799921,782472
866400033298329,782472
866400031131928,784138
866400033192647,784138
866400031809127,784146
866400033163960,784146
866400031859627,784154
866400032884822,784154
866400031236388,784248
866400032829249,784248
866400032920089,784248
866400031129260,784284
866400032881083,784284
866400032940343,784284
866400031388205,784288
866400032761749,784288
866400032938768,784288
866400031196541,784350
866400033039186,784350
866400033284824,784350
866400030133248,784354
866400031733020,784354
866400033204921,784354
866400030060748,784366
866400032929064,784366
866400030123223,785220
866400033159109,785220
866400031539500,786746
866400032885886,786746
866400030012178,786779
866400033229340,786779
866400031853547,786781
866400033028866,786781
866400031774503,787596
866400032884863,787596
866400031671063,787610
866400032896248,787610
866400031776441,787612
866400032905783,787612
866400031754620,787632
866400033191342,787632
866400031183143,787654
866400033180766,787654
866400030007079,787668
866400032848249,787668
866400031745768,787670
866400032906229,787670
866400031786523,787728
866400033184305,787728
866400031225126,796923
866400033110144,796923
866400031194744,798248
866400032177805,798248
866400033308300,798248
866400031232023,798254
866400032915683,798254
866400033184644,798254
866400030822642,798286
866400033173282,798286
866400030303866,798412
866400033178505,798412
866400030784206,798424
866400033174942,798424
866400030075241,798438
866400033171526,798438
866400031225381,798450
866400032850328,798450
866400033314563,798450
866400031684884,798730
866400033089900,798730
866400033253720,798730
866400031447167,798750
866400032905866,798750
866400030094002,799834
866400031782464,799834
866400033078606,799834
866400031242246,799838
866400031650646,799838
866400033208302,799838
866400031228286,799850
866400031277200,799850
866400033190641,799850
866400031656742,799912
866400032236189,799912
866400033200960,799912
866400032207305,799946
866400032197860,799946
866400033165460,799946
866400032235264,799952
866400032226602,799952
866400033258828,799952
866400032235546,799988
866400032144409,799988
866400033315081,799988
866400032231529,800036
866400032183746,800036
866400033316527,800036
866400032206844,800048
866400032193026,800048
866400033294260,800048
866400032245966,820635
866400031994184,820635
866400033309480,820635
866400030552165,820663
866400032916384,820663
866400033299400,820663
866400030550763,820667
866400032901121,820667
866400032803301,820667
866400031644862,820687
866400033100129,820687
866400033028403,820687
866400031608784,820693
866400033098208,820693
866400033312286,820693
866400031636009,820791
866400032900404,820791
866400030056787,822792
866400033125480,822792
866400031278364,822906
866400033191227,822906
866400031252369,822918
866400033200689,822918
866400030096106,823276
866400033201166,823276
866400031163368,823280
866400032825320,823280
866400032909421,823280
866400031526820,823332
866400032881067,823332
866400030140425,823338
866400033196309,823338
866400031168540,823346
866400032914868,823346
866400032872041,823346
866400030025519,823366
866400032839321,823366
866400032254125,855233
866400032155942,855233
866400033289526,855233
866400030547686,856420
866400032916665,856420
866400032914462,856420
866400031705127,856438
866400033093266,856438
866400033291209,856438
866400031788800,856492
866400033114088,856492
866400031743524,856496
866400033113882,856496
866400031606580,856532
866400033203485,856532
866400031595221,856540
866400033081444,856540
866400031255743,856566
866400033103560,856566
866400032237369,857574
866400032246089,857574
866400033286829,857574
866400032243367,857578
866400032023488,857578
866400033009387,857578
866400032241882,857580
866400032258084,857580
866400033073623,857580
866400032237161,857752
866400032005568,857752
866400033186102,857752
866400032247046,857758
866400032195567,857758
866400033310587,857758
866400031757268,890915
866400032977949,890915
866400032181385,890923
866400032042843,890923
866400033222469,890923
866400031588325,890955
866400033207908,890955
866400031277648,890957
866400032727260,890957
866400031247641,890959
866400032785607,890959
866400031246148,890961
866400033176426,890961
866400030849900,890967
866400033234308,890967
866400030145424,958295
866400032906708,958295
866400031175008,958309
866400032803863,958309
866400032866449,958309
866400031092740,958329
866400030087063,958329
866400033177382,958329
866400031249167,958357
866400031695963,958357
866400033198768,958357
866400031216885,958359
866400032830460,958359
866400033252649,958359
866400031682888,958363
866400033206041,958363
866400031195683,958365
866400032918745,958365
866400032915162,958365
866400031547446,958369
866400032779444,958369
866400030801083,958379
866400032916566,958379
866400030109404,958389
866400031754208,958389
866400033203063,958389
866400031708725,958405
866400033095808,958405
866400033310827,958405
866400030972363,958417
866400033205647,958417
866400030090042,958445
866400033210209,958445
866400031717825,958449
866400033184800,958449
866400031704302,958465
866400033186169,958465
866400030054063,958487
866400032930963,958487
866400033279261,958487
866400031734143,958495
866400032900545,958495
866400031647683,958497
866400033235123,958497
866400030925841,958499
866400032797487,958499
866400030041144,958523
866400031736080,958523
866400033200580,958523
866400030114644,958527
866400031733442,958527
866400033198602,958527
866400032257508,958547
866400032154887,958547
866400033292686,958547
866400032198900,958553
866400032105780,958553
866400033299640,958553
866400031163087,958559
866400032911567,958559
866400032918802,958559
866400031176048,958561
866400032838042,958561
866400032918349,958561
